MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Ramchandra Prasad Singh,Elected,8-Jul-10,In office,Bihar,,Janata Dal (United),Male,Post Graduate,"B.A. (Hons.) in History, M.A. (International Relations) ; Educated at High School, Hussainpur, Nalanda, Science College, Patna University, Patna College, Patna University, Patna and Jawaharlal Nehru University, New Delhi",55,3,0,341,0.60, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,41,0.1,252,77%
Ramdas Agarwal,Elected,4-Apr-06,03/04/2012,Rajasthan,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Intermediate, Hindi Visharad Educated at Jaipur Maharaja College, Jaipur ",76,24,0,410,0.64, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,26.4,0.4,271,79%
Ranbir Singh Parjapati,Elected,2-Aug-10,In office,Haryana,,Indian National Lok Dal,Male,Inter/ Higher Secondary,"Intermediate Educated at Arya School, Hisar and Board of Secondary Education, Bhopal",49,14,0,60,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,209,77%,15.4,2.1,143,87%
Rangasayee Ramakrishna,Elected,3-Apr-12,In office,Karnataka,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics), B.L. Educated at Sri Ramakrishna Mission High School, Chennai, Loyola College, Madras University and Madras Law College, Madras University, Chennai",79,13,0,14,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.6,0.5,81,64%
Ranjitsinh Vijaysinh Mohite-Patil,Elected,4-Aug-09,02/04/2012,Maharashtra,,Nationalist Congress Party,Male,Graduate,,42,17,0,210,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),20.1,0.5,158,77%,23.8,0.6,256,76%
Ravi Shankar Prasad,Elected,3-Apr-12,In office,Bihar,,Bharatiya Janata Party,Male,Post Graduate,"B.A.Hons., M.A. (Pol.Science), LL.B. Educated at Patna University ",59,104,0,761,0.77, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,51.9,0.1,333,77%
Rekha,Nominated,27-Apr-12,In office,,,Independent,Female,Others,,59,0,0,0,0.05, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,107,77%,6.7,0.3,18,68%
Renubala Pradhan,Elected,3-Apr-08,In office,Orissa,,Biju Janata Dal,Female,Matric,"Matric, Educated at Mahatma Gandhi High School, Sheragada, Distt. Ganjam, Orissa ",49,9,0,177,0.63, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.2,0.5,253,81%
Renuka Chowdhury,Elected,3-Apr-12,In office,Andhra Pradesh,,Indian National Congress,Female,Post Graduate,"Master of Industrial Psychology; Educated at Karnataka University, Bangalore",59,6,0,43,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,11.5,0.2,154,77%
Rishang Keishing,Elected,10-Apr-08,In office,Manipur,,Indian National Congress,Male,Graduate,"B.A. Educated at St. Paul's Cathedral College, Kolkata ",94,1,0,0,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,1,0,0,86%
Rudra Narayan Pany,Elected,4-Apr-06,03/04/2012,Orissa,,Bharatiya Janata Party,Male,Graduate,B.A. (Hons.) with distinction Educated at Utkal University (Orissa) ,54,107,0,403,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,34.7,0,171,81%
S. Anbalagan,Elected,30-Jun-04,29/06/2010,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A.(History) Educated at Madurai Kamaraj University, Madurai",64,8,0,77,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,17.4,0.2,82,71%
S. Thangavelu,Elected,30-Jun-10,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc. (Agriculture) ; Educated at Agriculture College, Madurai, Tamil Nadu Agriculture University, Tamil Nadu",59,24,0,338,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,37,0.6,265,71%
S.M. Krishna,Elected,26-Jun-08,In office,Karnataka,,Indian National Congress,Male,Post Graduate,"B.A., B.L., M.C.L. (U.S.A.) Educated at Maharaja's College, Mysore, Government Law College, Bangalore, Southern Methodist University, Dallas-Texas (U.S.A.) ",81,0,0,0,0.12,"This MP was a Minister. He tendered his resignation on 28th October, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th October. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",10.9,0.2,75,77%,10.3,0.1,57,64%
S.P. Singh Baghel,Elected,5-Jul-10,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Doctorate,"M.Sc., LL.B., Ph.D. Educated at Jiwaji University, Gwalior (Madhya Pradesh), Meerut University and Chaudhary Charan Singh University, Meerut (Uttar Pradesh)",53,26,0,0,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.4,1.2,151,79%
S.S. Ahluwalia,Elected,3-Apr-06,02/04/2012,Jharkhand,,Bharatiya Janata Party,Male,Graduate,"B.Sc., LL.B. Educated at St. Joseph School, Asansol, Bidhan Chandra College, Burdwan University and University College of Law, Calcutta University, West Bengal ",62,71,0,193,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,23.8,0.5,246,75%
Sabir Ali,Elected,16-Dec-11,In office,Bihar,,Janata Dal (United),Male,Graduate,"Intermediate, B.A.",43,31,0,563,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),38.8,1,275,77%,50.5,0.1,314,77%
Sachin Ramesh Tendulkar,Nominated,27-Apr-12,In office,,,Independent,Male,Inter/ Higher Secondary,,40,0,0,0,0.03, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,107,77%,6.7,0.3,18,68%
Saif-ud-Din Soz,Elected,11-Feb-09,In office,Jammu and Kashmir,,Indian National Congress,Male,Post Graduate,"M.A. (Economics) Educated at Jammu and Kashmir University, Srinagar ",76,27,0,146,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,19.8,0,97,90%
Salim Ansari,Elected,5-Jul-10,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"B.A., M.A. ; Educated at D.C.S.K.P.G. College, Mau (Gorakhpur University)",51,5,0,104,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.4,1.2,151,79%
Saman Pathak,Elected,3-Apr-06,02/04/2012,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"B.A., Diploma in Computer Educated at North Bengal University, Siliguri ",40,31,0,79,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,36.6,0.4,123,75%
Sanjay Raut,Elected,5-Jul-10,In office,Maharashtra,,Shiv Sena,Male,Graduate,"B. Com. Educated at Mumbai University, Mumbai ",52,51,0,749,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,46.6,1.3,468,76%
Sanjiv Kumar,Elected,4-May-12,In office,Jharkhand,,Jharkhand Mukti Morcha,Male,Professional Graduate,"B.Sc., LL.B. Educated at Ranchi College, Ranchi and Delhi University, Delhi",56,21,0,7,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),15.2,0.3,103,77%,10.3,0.2,160,75%
Santiuse Kujur,Elected,15-Jun-13,In office,Assam,,Indian National Congress,Male,Graduate,"B.A. (Honours) Educated at Dakua High School, Udalguri, Darrang College, Tezpur and Tangla College, Udalguri",40,2,0,9,0.98, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.2,0,31,77%,5,0,25,84%
Santosh Bagrodia,Elected,5-Jul-04,04/07/2010,Rajasthan,,Indian National Congress,Male,Graduate,"Graduate in Commerce Educated at St. Xavier's College, Calcutta ",73,28,3,245,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,14.5,0.4,144,79%
Sardar Sukh Dev Singh Dhindsa,Elected,10-Apr-10,In office,Punjab,,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Guru Nanak School, Sangrur and Government Ranbir College, Sangrur, Punjab",77,23,1,282,0.60, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,39.1,0.8,230,79%
Satish Chandra Misra,Elected,5-Jul-10,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B. Educated at Allahabad University and P.P.N. College, Kanpur University ",61,41,0,4,0.81, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Satish Kumar Sharma,Elected,5-Jul-10,In office,Uttar Pradesh,,Indian National Congress,Male,Diploma Course,"Higher Secondary; Commercial Pilots Licence; Airline Transport Pilots Licence Educated at Mothers School, New Delhi; Hyderabad and Kansas City, U.S.A. ",66,0,0,0,0.96,"This MP has been re-elected/nominated. During his previous term, this MP was an elected representative from Uttarakhand; the term ended on 4th July, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",39.8,1,290,77%,28.7,1.7,303,79%
Satyavrat Chaturvedi,Elected,3-Apr-12,In office,Madhya Pradesh,,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge Educated at Sainik School, Rewa (Madhya Pradesh) ",64,15,0,447,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,53.5,2.1,576,81%
Shadi Lal Batra,Elected,3-Apr-12,In office,Haryana,,Indian National Congress,Male,Professional Graduate,"B.Com., LL.B. ; Educated at Vaish College, Rohtak, Haryana and Faculty of Law, University of Delhi, Delhi",74,9,10,277,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,21,2.1,176,87%
Shanta Kumar,Elected,10-Apr-08,In office,Himachal Pradesh,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at Panjab University and Delhi Law College, Delhi",79,35,0,86,0.83, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,36.7,0,264,88%
