MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
T.N. Seema,Elected,3-Apr-10,In office,Kerala,,Communist Party of India (Marxist),Female,Doctorate,"B.A., M.A. (Malayalam), Ph.D. in Malayalam Literature from University of Kerala Diploma in Tamil from Central Institute of Indian Languages, Mysore Diploma in Universalising Social Security from Institute of Social Science, Hague, the Netherlands",50,41,0,388,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,50.2,0.7,361,70%
T.T.V. Dhinakaran,Elected,30-Jun-04,29/06/2010,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,50,0,0,117,0.07, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,17.4,0.2,82,71%
Tapan Kumar Sen,Elected,3-Apr-12,In office,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"B.A.(Hons.) in Economics Educated at Presidency College, Kolkata University ",62,99,0,209,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Tarini Kanta Roy,Elected,3-Apr-08,In office,West Bengal,,Communist Party of India (Marxist),Male,Under Graduate,"Undergraduate, Educated at A.B.N. Seal College (formerly Victoria College), Cooch Behar (West Bengal) ",64,14,0,100,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Tariq Anwar,Elected,5-Jul-10,In office,Maharashtra,,Nationalist Congress Party,Male,Graduate,"B.Sc. Educated at College of Commerce, Patna, Magadh University, Bodh Gaya (Bihar) ",63,48,0,402,0.88,"This MP was appointed a minister in October 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th September, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.9,0.8,214,77%,34.7,1,346,76%
Tarlochan Singh,Elected,2-Aug-04,01/08/2010,Haryana,,Independent,Male,Post Graduate,"M.A. (Economics) Educated at Panjab University, Chandigarh ",81,30,0,40,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,81,77%,10.3,0,43,87%
Tarun Vijay,Elected,5-Jul-10,In office,Uttarakhand,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Dehradun and Osmania University, Hyderabad",57,113,4,220,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,69.6,1.9,510,92%
Thaawar Chand Gehlot,Elected,3-Apr-12,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Vikram University, Ujjain, Madhya Pradesh",65,26,0,227,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,19.4,0.7,155,81%
Thomas Sangma,Elected,13-Apr-08,04/02/2013,Meghalaya,,Nationalist Congress Party,Male,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura ",52,8,4,58,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),30.6,0.9,232,77%,8.5,4.3,62,91%
Tiruchi Siva,Elected,25-Jul-07,24/07/2013,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Eng.), B.L. Educated at Periyar E.V.R. College, Madras University and Tiruchi Law College, Bharatidassan University ",59,105,1,22,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,1,258,77%,46.3,0.7,307,71%
Upendra Kushwaha,Elected,8-Jul-10,04/01/2013,Bihar,,Janata Dal (United),Male,Post Graduate,"B.Sc., M.A. (Political Science) Educated at Patna Science College, Patna and B.R. Ambedkar Bihar University, Muzaffarpur (Bihar)",52,4,0,150,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),20.6,0.6,155,77%,27.2,0.1,198,77%
V. Hanumantha Rao,Elected,22-Jun-10,In office,Andhra Pradesh,,Indian National Congress,Male,Graduate,"B.A. Educated at Osmania University, Hyderabad ",65,21,0,125,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
V. Maitreyan,Elected,25-Jul-13,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.B.B.S., M.D. (General Medicine), D.M. (Medical Oncology) Educated at Government Medical College, Nagpur University, Madras Medical College, University of Madras and Cancer Institute (WIA), University of Madras ",58,83,0,190,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
V.P. Singh Badnore,Elected,5-Jul-10,In office,Rajasthan,,Bharatiya Janata Party,Male,Graduate,"B.A.(Hons.), Business Management Educated at Mayo College, Government College, Ajmer and A.S.C.I., Hyderabad",65,37,0,42,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.2,0,241,79%
Vandana Hemant Chavan,Elected,3-Apr-12,In office,Maharashtra,,Nationalist Congress Party,Female,Professional Graduate,"B.Sc., LL.B. Educated at Hutchings High School, Pune, Fergusson College, Pune and I.L.S. Law College, Pu",52,6,0,5,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,18.7,0.5,176,76%
Varinder Singh Bajwa,Elected,10-Apr-04,09/04/2010,Punjab,,Shiromani Akali Dal,Male,Post Graduate,"M.A. (Political Science) Educated at Panjab University, Chandigarh",69,3,0,108,0.43, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,4.7,0,85,79%
Vasanthi Stanley,Elected,3-Apr-08,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Female,Post Graduate,"B.A., B.Ed., M.A. (English), B.L. Educated at Madurai Kamaraj University, Madurai and Dr. Ambedkar Law University, Chennai ",51,66,0,250,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
Vayalar Ravi,Elected,22-Apr-09,In office,Kerala,,Indian National Congress,Male,Post Graduate,"B.A., M.A., B.L. Educated at S.D. College, Alappuzha, Maharajas College, Ernakulam and Law College, Ernakulam ",76,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Veer Pal Singh Yadav,Elected,3-Apr-06,02/04/2012,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A., LL.B. Educated at Atmaram Inter College, Balliya (Bareilly), Shri Gulab Ray Inter College, Bareilly and Bareilly College, Bareilly, Uttar Pradesh",58,14,0,23,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,19.9,1.3,120,79%
Veer Singh,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B. Educated at J.S. Hindu College, Amroha, Jyotiba Phule Nagar and K.G.K. College, Muradabad, Uttar Pradesh",58,27,2,22,0.80, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Vegad Shankarbhai N.,Elected,3-Apr-12,In office,Gujarat,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C. Educated at D.N.T. High School, Joravar Nagar, Surendranagar, Gujarat",58,1,0,0,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,15,0.7,121,75%
Vijay Jawaharlal Darda,Elected,5-Jul-10,In office,Maharashtra,,Indian National Congress,Male,Diploma Course,Diploma in Jounalism & Printing Technology,63,29,5,714,0.51, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,46.6,1.3,468,76%
Vijay Mallya,Elected,1-Jul-10,In office,Karnataka,,Independent,Male,Graduate,"B.Com. (Hons.), Doctor of Philosophy in Business Administration (Honoris Causa) conferred by Southern California University, Irvine, USA Educated at St. Xaviers College, Kolkata",58,0,0,164,0.33, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,21.1,0.9,127,64%
Vijaykumar Rupani,Elected,3-Apr-06,02/04/2012,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. Educated at Saurashtra University, Rajkot (Gujarat)",57,17,0,85,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,15.9,0,152,75%
Vijaylaxmi Sadho,Elected,30-Jun-10,In office,Madhya Pradesh,,Indian National Congress,Female,Doctorate,"M.B.B.S. Educated at Gandhi Medical College, Bhopal",58,26,0,41,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,35.5,1,278,81%
Vikram Verma,Elected,3-Apr-06,02/04/2012,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Hindi and Political Science), LL.B. Educated at Christian College, Indore and Gujarati College, Indore (Madhya Pradesh) ",70,15,0,0,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,22.4,0.5,190,81%
Vilasrao Dagadojirao Deshmukh,Elected,4-Aug-09,14/08/2012,Maharashtra,,Indian National Congress,Male,Professional Graduate,"B.Sc., B.A., LL.B. Educated at Garware College, Pune University, Pune and I.L.S. Law College, Pune (Maharashtra)",68,0,0,0,0.00,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Vinay Katiyar,Elected,3-Apr-12,In office,Uttar Pradesh,,Bharatiya Janata Party,Male,Graduate,"B.Com. Educated at Kanpur University, Kanpur (Uttar Pradesh) ",59,17,0,2,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Viplove Thakur,Elected,3-Apr-06,02/04/2012,Himachal Pradesh,,Indian National Congress,Female,Post Graduate,"B.A., M.A. (Political Science) Educated at Panjab University, Chandigarh",70,27,0,393,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,22.1,0,193,88%
Virendra Bhatia,Elected,3-Apr-06,24/05/2010,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"LL.B., M.Com., M.A.( Sociology), Diploma in Labour Law Educated at Lucknow University, Lucknow (Uttar Pradesh) ",66,5,0,16,0.33, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Vivek Gupta,Elected,3-Apr-12,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.Com (Hons.), Degree in System Design and Analyst and Degree in Print Production Educated at Calcutta University, Kolkata, NIIT, Kolkata and V.D.M.A. (Germany)",38,15,3,111,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,21.6,0.2,41,75%
Wansuk Syiem,Elected,22-Apr-13,In office,Meghalaya,,Indian National Congress,Female,Matric,"Educated at St. Mary’s Mazarello Convent, Jowai, Meghalaya",57,5,0,79,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.5,0,41,77%,5.3,0,84,91%
Y. P. Trivedi,Elected,3-Apr-08,In office,Maharashtra,,Nationalist Congress Party,Male,Graduate,"B. Com., LL.B. Educated at Sydnam College, Mumbai",85,33,2,450,0.57, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,46.6,1.3,468,76%
Y. S. Chowdary,Elected,22-Jun-10,In office,Andhra Pradesh,,Telugu Desam Party,Male,Professional Graduate,"B.E. (Bachelor of Engineering) from Chaitanya Institute of Technology, Hyderabad Master of Engineering from P.S.G. College of Technology, Coimbatore",52,37,0,343,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,22.2,0.3,297,77%
Rashid Masood,Elected,3-Apr-12,19-Sep-13,Uttar Pradesh,,Indian National Congress,Male,Professional Post Graduate,"B.Sc., LL.M. Educated at Aligarh Muslim University, Aligarh (Uttar Pradesh)",66,0,0,226,0.73, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),27.3,0.7,192,77%,23.3,1.1,136,79%
